ID	parentID	scientificName	kingdom	phylum	class	order	family	genus	rank	status
896		Hydrobia ulvae	Animalia	Mollusca	Gastropoda	Neotaenioglossa	Hydrobiidae	Hydrobia	species	accepted
897		Hippeutis complanatus	Animalia	Mollusca	Gastropoda	Pulmonata	Planorbidae	Hippeutis	species	accepted
898		Gyraulus albus	Animalia	Mollusca	Gastropoda	Pulmonata	Planorbidae	Gyraulus	species	accepted
899		Galba truncatula	Animalia	Mollusca	Gastropoda	Pulmonata	Lymnaeidae	Galba	species	accepted
900		Bithynia leachii	Animalia	Mollusca	Gastropoda	Neotaenioglossa	Bithyniidae	Bithynia	species	accepted
901		Bithynia tentaculata	Animalia	Mollusca	Gastropoda	Neotaenioglossa	Bithyniidae	Bithynia	species	accepted
902		Bivalvia	Animalia	Mollusca	Bivalvia				class	accepted
903		Gastropoda	Animalia	Mollusca	Gastropoda				class	accepted
905		Hydrobia ventrosa	Animalia	Mollusca	Gastropoda	Neotaenioglossa	Hydrobiidae	Hydrobia	species	accepted
906		Myotis myotis	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	species	accepted
907		Cerastoderma glaucum	Animalia	Mollusca	Bivalvia	Veneroida	Cardiidae	Cerastoderma	species	accepted
908		Salamandridae	Animalia	Chordata	Amphibia	Caudata	Salamandridae		family	accepted
910		Bithynia	Animalia	Mollusca	Gastropoda	Neotaenioglossa	Bithyniidae	Bithynia	genus	accepted
911		Sphaeriidae	Animalia	Mollusca	Bivalvia	Veneroida	Sphaeriidae		family	accepted
912		Radix auricularia	Animalia	Mollusca	Gastropoda	Pulmonata	Lymnaeidae	Radix	species	accepted
913		Radix	Animalia	Mollusca	Gastropoda	Pulmonata	Lymnaeidae	Radix	genus	accepted
914		Pseudunio auricularia	Animalia	Mollusca	Bivalvia	Unionoida	Margaritiferidae	Pseudunio	species	accepted
916		Carychium minimum	Animalia	Mollusca	Gastropoda	Basommatophora	Ellobiidae	Carychium	species	accepted
917		Cecilioides acicula	Animalia	Mollusca	Gastropoda	Stylommatophora	Ferussaciidae	Cecilioides	species	accepted
918		Columella	Animalia	Mollusca	Gastropoda	Stylommatophora	Vertiginidae	Columella	genus	accepted
919		Euconulus fulvus	Animalia	Mollusca	Gastropoda	Stylommatophora	Helicarionidae	Euconulus	species	accepted
920		Helicella itala	Animalia	Mollusca	Gastropoda	Stylommatophora	Helicidae	Helicella	species	accepted
921		Balea biplicata	Animalia	Mollusca	Gastropoda	Stylommatophora	Clausiliidae	Balea	species	accepted
922		Bradybaena fruticum	Animalia	Mollusca	Gastropoda	Stylommatophora	Bradybaenidae	Bradybaena	species	accepted
923		Echinoidea	Animalia	Echinodermata	Echinoidea				class	accepted
924		Echinocardium cordatum	Animalia	Echinodermata	Echinoidea	Spantagoida	Echinothuridae	Echinocardium	species	accepted
927		Ena obscura	Animalia	Mollusca	Gastropoda	Stylommatophora	Enidae	Ena	species	accepted
928		Retusa obtusa	Animalia	Mollusca	Gastropoda	Bullomorpha	Retusidae	Retusa	species	accepted
929		Succineidae	Animalia	Mollusca	Gastropoda	Stylommatophora	Succineidae		family	accepted
930		Succinella oblonga	Animalia	Mollusca	Gastropoda	Stylommatophora	Succineidae	Succinella	species	accepted
931		Vitrina	Animalia	Mollusca	Gastropoda	Stylommatophora	Vitrinidae	Vitrina	genus	accepted
932		Pomatias elegans	Animalia	Mollusca	Gastropoda	Mesogastropoda	Pomatiasidae	Pomatias	species	accepted
933		Polychaeta	Animalia	Annelida	Polychaeta				class	accepted
936		Bryozoa	Animalia	Mollusca	Bryozoa				class	accepted
937		Limacidae	Animalia	Mollusca	Gastropoda	Stylommatophora	Limacidae		family	accepted
938		Oxyloma elegans	Animalia	Mollusca	Gastropoda	Stylommatophora	Succineidae	Oxyloma	species	accepted
939		Oxyloma	Animalia	Mollusca	Gastropoda	Stylommatophora	Succineidae	Oxyloma	genus	accepted
940		Vertigo pygmaea	Animalia	Mollusca	Gastropoda	Stylommatophora	Vertiginidae	Vertigo	species	accepted
941		Vertigo angustior	Animalia	Mollusca	Gastropoda	Stylommatophora	Vertiginidae	Vertigo	species	accepted
942		Vertigo	Animalia	Mollusca	Gastropoda	Stylommatophora	Vertiginidae	Vertigo	genus	accepted
943		Vertigo antivertigo	Animalia	Mollusca	Gastropoda	Stylommatophora	Vertiginidae	Vertigo	species	accepted
944		Vitrina pellucida	Animalia	Mollusca	Gastropoda	Stylommatophora	Vitrinidae	Vitrina	species	accepted
948		Balaenopteridae	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae		family	accepted
949		Callista chione	Animalia	Mollusca	Bivalvia	Veneroida	Veneridae	Callista	species	accepted
950		Haliotis tuberculata	Animalia	Mollusca	Gastropoda	Archaeogastropoda	Haliotidae	Haliotis	species	accepted
951		Tellina pusilla	Animalia	Mollusca	Bivalvia	Veneroida	Tellinidae	Tellina	species	accepted
952		Nucula nucleus	Animalia	Mollusca	Bivalvia	Nuculoida	Nuculidae	Nucula	species	accepted
953		Naticidae	Animalia	Mollusca	Gastropoda	Mesogastropoda	Naticidae		family	accepted
954		Balanus balanoides	Animalia	Arthropoda	Crustacea	Thoracica	Balanidae	Balanus	species	accepted
955		Balanus	Animalia	Arthropoda	Crustacea	Thoracica	Balanidae	Balanus	genus	accepted
956		Abra tenuis	Animalia	Mollusca	Bivalvia	Veneroida	Semelidae	Abra	species	accepted
957		Columella edentula	Animalia	Mollusca	Gastropoda	Stylommatophora	Vertiginidae	Columella	species	accepted
958		Sepia	Animalia	Mollusca	Cephalopoda	Sepiida	Sepiidae	Sepia	genus	accepted
959		Sepia officinalis	Animalia	Mollusca	Cephalopoda	Sepiida	Sepiidae	Sepia	species	accepted
960		Odostomia unidentata	Animalia	Mollusca	Gastropoda	Bullomorpha	Pyramidellidae	Odostomia	species	accepted
961		Odostomia	Animalia	Mollusca	Gastropoda	Bullomorpha	Pyramidellidae	Odostomia	genus	accepted
962		Ostracoda	Animalia	Arthropoda	Ostracoda				class	accepted
963		Acanthinula aculeata	Animalia	Mollusca	Gastropoda	Stylommatophora	Valloniidae	Acanthinula	species	accepted
964		Aegopinella nitidula	Animalia	Mollusca	Gastropoda	Stylommatophora	Vitrinidae	Aegopinella	species	accepted
965		Chrysallida	Animalia	Mollusca	Gastropoda	Bullomorpha	Pyramidellidae	Chrysallida	genus	accepted
966		Cypraeidae	Animalia	Mollusca	Gastropoda	Mesogastropoda	Cypraeidae		family	accepted
967		Cypraea pantherina	Animalia	Mollusca	Gastropoda	Mesogastropoda	Cypraeidae	Cypraea	species	accepted
968		Cypraea	Animalia	Mollusca	Gastropoda	Mesogastropoda	Cypraeidae	Cypraea	genus	accepted
969		Epilepton clarkiae	Animalia	Mollusca	Bivalvia	Veneroida	Neoleptonidae	Epilepton	species	accepted
970		Ophiuroidea	Animalia	Echinodermata	Ophiuroidea				class	accepted
971		Helicodonta obvoluta	Animalia	Mollusca	Gastropoda	Stylommatophora	Helicidae	Helicodonta	species	accepted
972		Kellia suborbicularis	Animalia	Mollusca	Bivalvia	Veneroida	Kelliidae	Kellia	species	accepted
973		Hydrozoa	Animalia	Cnidaria	Hydrozoa				class	accepted
974		Porifera	Animalia	Porifera	Demospongiae				class	accepted
975		Alopias vulpinus	Animalia	Chordata	Chondrichthyes	Lamniformes	Alopiidae	Alopias	species	accepted
976		Chondrichthyes	Animalia	Chordata	Chondrichthyes				class	accepted
977		Aspitrigla cuculus	Animalia	Chordata	Osteichthyes	Scorpaeniformes	Triglidae	Aspitrigla	species	accepted
978		Molva dypterygia	Animalia	Chordata	Osteichthyes	Gadiformes	Gadidae	Molva	species	accepted
979		Bothidae	Animalia	Chordata	Osteichthyes	Pleuronectiformes	Bothidae		family	accepted
980		Sphyraena	Animalia	Chordata	Osteichthyes	Perciformes	Sphyraenidae	Sphyraena	genus	accepted
982		Vallonia costata	Animalia	Mollusca	Gastropoda	Stylommatophora	Valloniidae	Vallonia	species	accepted
983		Hirudinea	Animalia	Annelida	Hirudinea				class	accepted
984		Ameronothrus schneideri	Animalia	Arthropoda	Acari	Oribatida	Ameronothridae	Ameronothrus	species	accepted
985		Analgesidae	Animalia	Arthropoda	Acari	Acaridida	Analgesidae		family	accepted
986		Ceratoppia bipilis	Animalia	Arthropoda	Acari	Oribatida	Metrioppiidae	Ceratoppia	species	accepted
987		Chamobates incisus	Animalia	Arthropoda	Acari	Oribatida	Chamobatidae	Chamobates	species	accepted
989		Dinychus carinatus	Animalia	Arthropoda	Acari	Uropodina	Urodinychidae	Dinychus	species	accepted
990		Limnozetes sphagni	Animalia	Arthropoda	Acari	Oribatida	Limnozetidae	Limnozetes	species	accepted
991		Metabelba papillipes	Animalia	Arthropoda	Acari	Oribatida	Belbidae	Metabelba	species	accepted
992		Oppia ornata	Animalia	Arthropoda	Acari	Oribatida	Oppiidae	Oppia	species	accepted
993		Pachylaelaps	Animalia	Arthropoda	Acari	Gamasina	Macrochelidae	Pachylaelaps	genus	accepted
995		Pediculus humanus	Animalia	Arthropoda	Insecta	Anoplura	Pediculidae	Pediculus	species	accepted
996		Pulex irritans	Animalia	Arthropoda	Insecta	Siphonaptera	Pulicidae	Pulex	species	accepted
997		Rhodacarellus silesiacus	Animalia	Arthropoda	Acari	Gamasina	Rhodacaridae	Rhodacarellus	species	accepted
998		Uropoda baloghi	Animalia	Arthropoda	Acari	Uropodina	Uropodidae	Uropoda	species	accepted
